Date,Ticker,Open,High,Low,Close,Volume,Daily Return (%),MA5,MA10
2026-06-16 00:00:00-04:00,AVGO,389.59,391.17,375.87,376.11,31573700,-3.46,381.47400000000005,
2026-06-17 00:00:00-04:00,AVGO,388.1,400.02,382.05,392.28,40005500,1.08,385.62800000000004,
2026-06-18 00:00:00-04:00,AVGO,408.93,412.05,404.74,410.7,45076100,0.43,390.776,
2026-06-22 00:00:00-04:00,AVGO,413.66,414.64,391.91,392.13,26403700,-5.2,392.908,388.99899999999997
2026-06-23 00:00:00-04:00,AVGO,377.87,391.02,376.66,380.15,33122200,0.6,390.274,387.417
2026-06-24 00:00:00-04:00,AVGO,386.62,388.74,376.96,382.07,29938700,-1.18,391.466,386.46999999999997
2026-06-25 00:00:00-04:00,AVGO,386.58,388.8,372.7,378.91,23353700,-1.98,388.79200000000003,387.21
2026-06-26 00:00:00-04:00,AVGO,370.45,373.69,363.83,365.02,34839300,-1.47,379.65600000000006,385.216
2026-06-29 00:00:00-04:00,AVGO,373.62,376.21,360.46,372.45,24285200,-0.31,375.71999999999997,384.31399999999996
2026-06-30 00:00:00-04:00,AVGO,374.79,379.62,370.64,377.75,28517400,0.79,375.23999999999995,382.757
2026-07-01 00:00:00-04:00,AVGO,371.87,373.75,368.03,369.34,23712600,-0.68,372.69399999999996,382.08
2026-07-02 00:00:00-04:00,AVGO,365.73,374.0,356.43,360.45,26749500,-1.44,369.002,378.89700000000005
2026-07-06 00:00:00-04:00,AVGO,373.61,383.16,371.18,373.9,24544000,0.08,370.77799999999996,375.217
2026-07-07 00:00:00-04:00,AVGO,366.56,372.96,362.01,370.78,24064300,1.15,370.444,373.082
2026-06-08 00:00:00-04:00,CRM,183.44,184.54,181.24,182.08,11177800,-0.74,,
2026-06-09 00:00:00-04:00,CRM,179.04,181.99,171.12,174.9,15427800,-2.31,,
2026-06-10 00:00:00-04:00,CRM,170.16,175.08,169.59,170.48,10820500,0.19,,
2026-06-11 00:00:00-04:00,CRM,168.27,168.98,163.31,166.45,16666000,-1.08,,
2026-06-12 00:00:00-04:00,CRM,164.74,166.54,161.4,165.89,13589400,0.7,171.95999999999998,
2026-06-15 00:00:00-04:00,CRM,166.03,169.95,164.17,164.55,13541800,-0.89,168.454,
2026-06-16 00:00:00-04:00,CRM,164.06,166.3,160.5,161.71,16385300,-1.43,165.81599999999997,
2026-06-17 00:00:00-04:00,CRM,160.25,161.43,154.23,155.02,19986200,-3.26,162.724,
2026-06-18 00:00:00-04:00,CRM,152.73,154.47,149.8,151.78,57940800,-0.62,159.79000000000002,
2026-06-22 00:00:00-04:00,CRM,150.16,153.87,146.32,150.12,20502800,-0.03,156.63600000000002,164.298
2026-06-23 00:00:00-04:00,CRM,151.65,155.18,150.85,153.42,20720700,1.17,154.41,161.43200000000002
2026-06-24 00:00:00-04:00,CRM,151.81,157.06,150.4,152.76,13146800,0.63,152.61999999999998,159.21800000000002
2026-06-25 00:00:00-04:00,CRM,150.01,154.0,148.78,150.19,11324700,0.12,151.654,157.189
2026-06-26 00:00:00-04:00,CRM,151.49,158.46,151.49,158.37,21267900,4.54,152.972,156.381
2026-06-29 00:00:00-04:00,CRM,160.27,161.76,157.7,157.93,12664100,-1.46,154.534,155.585
2026-06-30 00:00:00-04:00,CRM,155.09,157.69,154.07,156.66,13690500,1.01,155.18200000000002,154.796
2026-07-01 00:00:00-04:00,CRM,162.22,165.81,161.2,163.23,14164600,0.62,157.276,154.948
2026-07-02 00:00:00-04:00,CRM,163.0,167.21,162.0,166.11,10486300,1.91,160.45999999999998,156.05700000000002
2026-07-06 00:00:00-04:00,CRM,163.99,167.72,162.37,165.65,10595500,1.01,161.916,157.444
2026-07-07 00:00:00-04:00,CRM,169.22,172.38,167.68,169.52,13051300,0.18,164.234,159.384
