Date,Ticker,Open,High,Low,Close,Volume
2026-06-29 00:00:00-04:00,GOOGL,341.83,354.35,340.67,353.65,34213900
2026-06-30 00:00:00-04:00,GOOGL,353.87,358.62,350.4,357.37,35237200
2026-07-01 00:00:00-04:00,GOOGL,358.37,362.97,356.43,361.21,26736400
2026-07-02 00:00:00-04:00,GOOGL,359.48,364.21,353.42,359.91,25974800
2026-07-06 00:00:00-04:00,GOOGL,361.55,367.93,357.38,366.46,26915800
2026-07-07 00:00:00-04:00,GOOGL,369.07,373.16,365.5,367.03,24008000
2026-06-08 00:00:00-04:00,AMZN,246.68,249.42,243.36,245.22,33899500
2026-06-09 00:00:00-04:00,AMZN,247.73,250.43,240.4,244.19,44425400
2026-06-10 00:00:00-04:00,AMZN,243.61,244.07,237.45,238.0,38590200
2026-06-11 00:00:00-04:00,AMZN,237.93,242.14,235.18,241.51,41335400
2026-06-12 00:00:00-04:00,AMZN,243.21,243.36,233.59,238.55,51186600
2026-06-15 00:00:00-04:00,AMZN,245.02,247.81,244.73,246.02,41711600
2026-06-16 00:00:00-04:00,AMZN,248.0,249.51,245.45,246.0,35187400
2026-06-17 00:00:00-04:00,AMZN,244.9,245.91,236.0,237.5,44780800
2026-06-18 00:00:00-04:00,AMZN,240.12,245.73,236.02,244.39,75624400
2026-06-22 00:00:00-04:00,AMZN,240.08,242.0,232.24,232.79,68388500
2026-06-23 00:00:00-04:00,AMZN,232.55,236.87,232.0,234.11,60492600
2026-06-24 00:00:00-04:00,AMZN,233.85,242.42,232.95,234.27,70282600
2026-06-25 00:00:00-04:00,AMZN,232.02,232.32,225.55,227.01,77674100
2026-06-26 00:00:00-04:00,AMZN,227.21,233.9,226.13,232.69,248372100
2026-06-29 00:00:00-04:00,AMZN,234.22,249.71,233.8,240.14,77619200
2026-06-30 00:00:00-04:00,AMZN,237.35,241.54,237.17,238.34,66228300
2026-07-01 00:00:00-04:00,AMZN,239.75,244.9,234.9,241.7,53829900
2026-07-02 00:00:00-04:00,AMZN,241.61,246.72,241.08,242.67,48246400
2026-07-06 00:00:00-04:00,AMZN,243.8,246.04,240.88,244.16,40044000
2026-07-07 00:00:00-04:00,AMZN,246.98,248.93,242.7,245.98,40504100
2026-06-08 00:00:00-04:00,META,591.45,591.45,578.68,584.85,19512400
2026-06-09 00:00:00-04:00,META,590.45,597.08,580.47,584.05,16977400
2026-06-10 00:00:00-04:00,META,580.19,590.77,570.07,570.45,17064000
2026-06-11 00:00:00-04:00,META,565.31,571.64,556.49,567.9,17628000
2026-06-12 00:00:00-04:00,META,572.42,575.54,560.38,566.45,14326400
2026-06-15 00:00:00-04:00,META,579.9,601.27,579.3,593.48,17653300
2026-06-16 00:00:00-04:00,META,593.65,605.81,592.0,600.21,11344400
2026-06-17 00:00:00-04:00,META,592.0,593.81,566.19,567.58,20478300
2026-06-18 00:00:00-04:00,META,572.82,580.22,563.1,577.22,28824600
2026-06-22 00:00:00-04:00,META,572.02,575.81,559.81,563.85,15405500
2026-06-23 00:00:00-04:00,META,562.25,572.2,561.02,562.2,13103300
2026-06-24 00:00:00-04:00,META,561.89,569.04,555.55,557.67,13963600
2026-06-25 00:00:00-04:00,META,555.55,556.34,540.18,542.87,16968600
2026-06-26 00:00:00-04:00,META,543.34,556.85,540.4,550.25,18867700
2026-06-29 00:00:00-04:00,META,560.0,570.9,558.0,562.6,15011400
2026-06-30 00:00:00-04:00,META,560.94,565.54,551.43,563.29,18111100
2026-07-01 00:00:00-04:00,META,607.91,628.28,595.1,612.91,45536300
2026-07-02 00:00:00-04:00,META,607.9,610.0,580.42,582.9,21705900
2026-07-06 00:00:00-04:00,META,594.84,603.58,581.76,600.29,17674100
2026-07-07 00:00:00-04:00,META,607.59,625.37,603.66,615.58,18524000
2026-06-08 00:00:00-04:00,TSLA,396.33,412.94,394.72,408.95,50328800
2026-06-09 00:00:00-04:00,TSLA,411.03,418.5,384.24,396.68,59940200
2026-06-10 00:00:00-04:00,TSLA,391.54,397.09,380.15,381.59,49695600
2026-06-11 00:00:00-04:00,TSLA,388.28,399.54,380.66,399.15,45324300
2026-06-12 00:00:00-04:00,TSLA,399.49,406.68,386.76,406.43,63514500
2026-06-15 00:00:00-04:00,TSLA,412.37,416.0,407.1,411.15,45620500
2026-06-16 00:00:00-04:00,TSLA,404.11,412.42,400.54,404.66,40255500
2026-06-17 00:00:00-04:00,TSLA,401.53,405.94,393.76,396.38,43534300
2026-06-18 00:00:00-04:00,TSLA,398.1,402.52,384.7,400.49,58384700
2026-06-22 00:00:00-04:00,TSLA,394.85,414.75,394.4,405.05,47819500
2026-06-23 00:00:00-04:00,TSLA,392.61,392.87,379.06,381.61,50420200
2026-06-24 00:00:00-04:00,TSLA,380.08,384.58,373.05,375.53,37081400
2026-06-25 00:00:00-04:00,TSLA,375.27,379.12,371.22,375.12,30138800
2026-06-26 00:00:00-04:00,TSLA,370.15,387.8,368.6,379.71,53434100
2026-06-29 00:00:00-04:00,TSLA,381.79,413.27,379.3,411.84,57645800
2026-06-30 00:00:00-04:00,TSLA,406.0,424.54,406.0,420.6,43385600
2026-07-01 00:00:00-04:00,TSLA,421.46,432.86,418.09,425.3,40127900
2026-07-02 00:00:00-04:00,TSLA,428.01,432.35,389.3,393.45,73717700
2026-07-06 00:00:00-04:00,TSLA,397.5,420.0,390.5,419.77,54727900
2026-07-07 00:00:00-04:00,TSLA,416.96,419.56,401.88,402.9,38043200
2026-06-08 00:00:00-04:00,NVDA,210.18,210.47,206.0,208.64,138372800
2026-06-09 00:00:00-04:00,NVDA,210.62,211.4,199.34,208.19,180962500
2026-06-10 00:00:00-04:00,NVDA,204.43,207.22,199.92,200.42,161746600
2026-06-11 00:00:00-04:00,NVDA,201.49,205.66,199.54,204.87,158643200
2026-06-12 00:00:00-04:00,NVDA,204.86,207.07,203.44,205.19,112001800
2026-06-15 00:00:00-04:00,NVDA,208.92,212.71,208.34,212.45,149936700
2026-06-16 00:00:00-04:00,NVDA,211.18,211.49,207.29,207.41,125694100
2026-06-17 00:00:00-04:00,NVDA,208.53,209.21,203.08,204.65,128363500
2026-06-18 00:00:00-04:00,NVDA,207.33,211.39,206.5,210.69,241272000
2026-06-22 00:00:00-04:00,NVDA,211.44,213.99,207.72,208.65,122041400
2026-06-23 00:00:00-04:00,NVDA,202.17,203.77,200.0,200.04,153496200
2026-06-24 00:00:00-04:00,NVDA,200.12,201.67,196.58,199.0,151810700
2026-06-25 00:00:00-04:00,NVDA,200.08,200.8,192.13,195.74,149550000
2026-06-26 00:00:00-04:00,NVDA,193.12,195.55,191.22,192.53,179304100
2026-06-29 00:00:00-04:00,NVDA,193.85,196.18,189.8,194.97,148835700
2026-06-30 00:00:00-04:00,NVDA,197.24,200.63,195.11,200.09,166476700
2026-07-01 00:00:00-04:00,NVDA,196.2,199.85,193.45,197.58,146147600
2026-07-02 00:00:00-04:00,NVDA,197.14,200.06,192.35,194.83,142068700
2026-07-06 00:00:00-04:00,NVDA,194.42,197.55,193.99,195.55,108999000
2026-07-07 00:00:00-04:00,NVDA,192.37,198.41,191.14,196.93,123810500
2026-06-08 00:00:00-04:00,NFLX,81.66,83.08,81.34,82.64,33056700
2026-06-09 00:00:00-04:00,NFLX,82.13,82.34,81.34,81.41,34787200
2026-06-10 00:00:00-04:00,NFLX,81.71,82.75,80.98,82.0,36304600
2026-06-11 00:00:00-04:00,NFLX,81.87,82.1,80.09,81.27,33417600
2026-06-12 00:00:00-04:00,NFLX,81.58,82.0,79.28,80.34,35309700
2026-06-15 00:00:00-04:00,NFLX,80.62,81.71,80.46,81.67,36430800
2026-06-16 00:00:00-04:00,NFLX,81.9,81.93,77.71,78.72,65054000
2026-06-17 00:00:00-04:00,NFLX,78.1,78.45,76.76,76.96,50338800
2026-06-18 00:00:00-04:00,NFLX,76.93,78.24,76.12,77.38,91920400
2026-06-22 00:00:00-04:00,NFLX,76.14,77.09,71.81,72.88,82203300
2026-06-23 00:00:00-04:00,NFLX,73.26,73.96,72.63,72.82,50806800
2026-06-24 00:00:00-04:00,NFLX,72.69,73.45,71.63,71.84,48001500
2026-06-25 00:00:00-04:00,NFLX,71.33,72.94,70.86,70.9,44446900
2026-06-26 00:00:00-04:00,NFLX,71.69,75.2,71.53,73.81,74990300
2026-06-29 00:00:00-04:00,NFLX,74.62,76.07,73.73,73.78,42429600
2026-06-30 00:00:00-04:00,NFLX,73.59,73.75,71.0,71.4,49240900
2026-07-01 00:00:00-04:00,NFLX,72.59,74.36,72.33,74.19,43841800
2026-07-02 00:00:00-04:00,NFLX,75.09,78.44,74.91,77.65,55456500
2026-07-06 00:00:00-04:00,NFLX,77.08,77.84,75.71,76.02,45056600
2026-07-07 00:00:00-04:00,NFLX,77.88,78.19,76.1,76.18,33185600
2026-06-08 00:00:00-04:00,AMD,485.0,494.97,477.71,490.33,25158800
2026-06-09 00:00:00-04:00,AMD,502.75,505.0,437.23,475.51,37799800
2026-06-10 00:00:00-04:00,AMD,467.97,477.45,448.33,452.4,27777400
2026-06-11 00:00:00-04:00,AMD,461.6,490.46,458.02,488.45,30463100
2026-06-12 00:00:00-04:00,AMD,499.69,521.71,494.0,511.57,31553100
2026-06-15 00:00:00-04:00,AMD,535.75,558.37,530.5,547.26,33482400
2026-06-16 00:00:00-04:00,AMD,546.89,548.95,507.25,507.29,28411700
2026-06-17 00:00:00-04:00,AMD,529.66,532.5,507.3,512.48,27085300
2026-06-18 00:00:00-04:00,AMD,531.58,539.69,526.32,537.37,43805600
2026-06-22 00:00:00-04:00,AMD,545.5,562.99,535.71,551.63,25983200
2026-06-23 00:00:00-04:00,AMD,509.08,528.49,506.81,519.85,30196800
2026-06-24 00:00:00-04:00,AMD,520.82,524.96,503.5,519.74,26548300
2026-06-25 00:00:00-04:00,AMD,543.93,550.88,507.0,532.57,27031300
2026-06-26 00:00:00-04:00,AMD,519.8,525.11,502.61,521.58,52705100
2026-06-29 00:00:00-04:00,AMD,522.84,542.19,495.35,539.49,26671000
2026-06-30 00:00:00-04:00,AMD,545.57,584.73,545.57,580.91,34488500
2026-07-01 00:00:00-04:00,AMD,557.53,564.09,538.74,540.88,28326800
2026-07-02 00:00:00-04:00,AMD,538.16,547.65,506.0,517.82,28142500
2026-07-06 00:00:00-04:00,AMD,535.35,572.5,527.0,552.05,30684200
2026-07-07 00:00:00-04:00,AMD,515.91,524.97,503.11,516.11,29062100
2026-06-08 00:00:00-04:00,INTC,111.0,112.54,106.66,110.27,136973900
